block,timestamp,amount0,amount1,total_supply,price,tick
23695484,1770438295,1067.22788454,0.505992,1000000000,0.000474,199781
23697484,1770440295,982.59865973,0.546435,1000000000,0.000480,199901
23699484,1770442295,995.80309720,0.540170,1000000000,0.000479,199882
23701484,1770444295,975.88648943,0.549779,1000000000,0.000480,199911
23703484,1770446295,979.06554482,0.548326,1000000000,0.000480,199906
23705484,1770448295,798.09305250,0.636560,1000000000,0.000493,200164
23707484,1770450295,817.48930871,0.627322,1000000000,0.000491,200138
23709484,1770452295,753.68760063,0.658947,1000000000,0.000496,200229
23711484,1770454295,777.02592928,0.647471,1000000000,0.000494,200196
23713484,1770456295,788.75964094,0.641720,1000000000,0.000493,200179
23715484,1770458295,739.69197194,0.666097,1000000000,0.000497,200250
23717484,1770460295,728.64068661,0.671651,1000000000,0.000498,200266
23719484,1770462295,732.27607171,0.669896,1000000000,0.000498,200261
23721484,1770464295,729.17793164,0.671479,1000000000,0.000498,200266
23723484,1770466295,827.84447604,0.622834,1000000000,0.000491,200125
23725484,1770468295,841.54933605,0.616321,1000000000,0.000490,200106
23727484,1770470295,835.31834189,0.619449,1000000000,0.000490,200115
23729484,1770472295,827.10392027,0.623542,1000000000,0.000491,200127
23731484,1770474295,851.86583569,0.611453,1000000000,0.000489,200091
23733484,1770476295,762.81352050,0.655406,1000000000,0.000495,200219
23735484,1770478295,860.87316609,0.607281,1000000000,0.000489,200079
23737484,1770480295,874.76861870,0.600596,1000000000,0.000488,200060
23739484,1770482295,877.11626342,0.601898,1000000000,0.000488,200063
23741484,1770484295,836.20651195,0.621975,1000000000,0.000491,200122
23743484,1770486295,936.27838094,0.573272,1000000000,0.000484,199980
23745484,1770488295,944.76905664,0.569202,1000000000,0.000483,199968
23747484,1770490295,1050.69348455,0.518480,1000000000,0.000476,199818
23749484,1770492295,1020.15600586,0.533079,1000000000,0.000478,199861
23751484,1770494295,1007.11569221,0.539341,1000000000,0.000479,199880
23753484,1770496295,1022.59495762,0.531961,1000000000,0.000478,199858
23755484,1770498295,1039.12569021,0.524105,1000000000,0.000477,199835
23757484,1770500295,1055.76039712,0.516196,1000000000,0.000476,199811
23759484,1770502295,1046.65280832,0.520542,1000000000,0.000476,199824
23761484,1770504295,1012.15663468,0.537035,1000000000,0.000479,199873
23763484,1770506295,986.81668511,0.549207,1000000000,0.000480,199909
23765484,1770508295,1013.82310149,0.536289,1000000000,0.000478,199871
23767484,1770510295,975.68072067,0.554615,1000000000,0.000481,199925
23769484,1770512295,980.10228894,0.552522,1000000000,0.000481,199919
23771484,1770514295,996.58227167,0.544627,1000000000,0.000480,199895
23773484,1770516295,1019.49864920,0.533678,1000000000,0.000478,199863
23775484,1770518295,1004.44704104,0.540917,1000000000,0.000479,199884
23777484,1770520295,992.29622236,0.546777,1000000000,0.000480,199902
23779484,1770522295,994.68119426,0.545653,1000000000,0.000480,199898
23781484,1770524295,946.99338537,0.568642,1000000000,0.000483,199966
23783484,1770526295,970.89810482,0.557135,1000000000,0.000481,199932
23785484,1770528295,998.46769058,0.543911,1000000000,0.000480,199893
23787484,1770530295,991.70218030,0.547169,1000000000,0.000480,199903
23789484,1770532295,999.07020838,0.543650,1000000000,0.000480,199893
23791484,1770534295,973.38926015,0.556005,1000000000,0.000481,199929
23793484,1770536295,974.45007278,0.555531,1000000000,0.000481,199928
23795484,1770538295,975.82295738,0.554893,1000000000,0.000481,199926
23797484,1770540295,1069.98769422,0.509949,1000000000,0.000475,199793
23799484,1770542295,1067.00049426,0.511393,1000000000,0.000475,199797
23801484,1770544295,1038.09214887,0.525186,1000000000,0.000477,199838
23803484,1770546295,1002.65520457,0.542169,1000000000,0.000479,199888
23805484,1770548295,1031.38103761,0.528450,1000000000,0.000477,199848
23807484,1770550295,1091.76836475,0.499773,1000000000,0.000473,199763
23809484,1770552295,1135.34000778,0.479243,1000000000,0.000470,199702
23811484,1770554295,1163.95497644,0.465822,1000000000,0.000469,199662
23813484,1770556295,1124.55916757,0.484374,1000000000,0.000471,199717
23815484,1770558295,1108.51526048,0.491965,1000000000,0.000472,199740
23817484,1770560295,1115.40788330,0.488738,1000000000,0.000472,199730
23819484,1770562295,1120.56714064,0.486325,1000000000,0.000471,199723
23821484,1770564295,1107.69655682,0.492426,1000000000,0.000472,199741
23823484,1770566295,1076.36719020,0.507305,1000000000,0.000474,199785
23825484,1770568295,1087.01776574,0.502281,1000000000,0.000474,199770
23827484,1770570295,1006.59883221,0.540657,1000000000,0.000479,199884
23829484,1770572295,1012.56294015,0.537831,1000000000,0.000479,199875
23831484,1770574295,1031.77349261,0.528660,1000000000,0.000477,199848
23833484,1770576295,1096.29891520,0.498034,1000000000,0.000473,199758
23835484,1770578295,1091.22241230,0.500460,1000000000,0.000473,199765
23837484,1770580295,1126.41934119,0.483851,1000000000,0.000471,199716
23839484,1770582295,1110.32828206,0.491456,1000000000,0.000472,199738
23841484,1770584295,1056.30665383,0.517080,1000000000,0.000476,199814
23843484,1770586295,1077.37669116,0.507081,1000000000,0.000474,199785
23845484,1770588295,1030.12959243,0.529598,1000000000,0.000478,199851
23847484,1770590295,1031.14801442,0.529129,1000000000,0.000477,199850
23849484,1770592295,1126.52355384,0.483977,1000000000,0.000471,199716
23851484,1770594295,1015.59989047,0.536775,1000000000,0.000479,199872
23853484,1770596295,1003.55553535,0.542609,1000000000,0.000479,199889
23855484,1770598295,994.22637430,0.547136,1000000000,0.000480,199903
23857484,1770600295,1042.54217249,0.524073,1000000000,0.000477,199835
23859484,1770602295,948.41542234,0.569350,1000000000,0.000483,199968
