vault,block,timestamp,amount0,amount1,total_supply,price,tick
WBTC-USDC,19208958,1765951769,0.00137619,0.000000,59815574,86658.901754,67649
WBTC-USDC,19258958,0,0.00084156,46.477981,59815574,85922.886461,67563
WBTC-USDC,19308958,0,0.00075834,53.795627,59815574,87106.563128,67700
WBTC-USDC,19358958,0,0.00100244,32.602957,59815574,85379.592204,67500
WBTC-USDC,19408958,0,0.00136957,0.000001,59815574,87937.354564,67795
WBTC-USDC,19458958,1766201769,0.00136956,0.000000,59815574,88047.266500,67807
WBTC-USDC,19508958,0,0.00026558,97.263788,59815574,87994.173806,67801
WBTC-USDC,19558958,0,0.00136918,0.000000,59815574,87925.197057,67794
WBTC-USDC,19608958,0,0.00136916,0.000000,59815574,88127.428341,67817
WBTC-USDC,19658958,0,0.00063559,65.192597,59815574,89466.156357,67967
WBTC-USDC,19708958,1766451769,0.00063980,64.726122,59815574,88580.557897,67868
WBTC-USDC,19758958,0,0.00081989,48.943529,59815574,86877.648153,67674
WBTC-USDC,19808958,0,0.00067128,62.012174,59815574,87175.808347,67708
WBTC-USDC,19858958,0,0.00059088,69.035831,59815574,87392.490181,67733
WBTC-USDC,19908958,0,0.00067990,61.247486,59815574,87301.886036,67722
WBTC-USDC,19958958,1766701769,0.00068937,60.348695,59815574,87709.204092,67769
WBTC-USDC,20008958,0,0.00068497,60.659045,59815574,88507.750344,67860
WBTC-USDC,20058958,0,0.00068083,60.965318,59815574,87267.682898,67719
WBTC-USDC,20108958,0,0.00065737,62.986317,59815574,87444.096718,67739
WBTC-USDC,20158958,0,0.00067119,61.758625,59815574,87595.511053,67756
WBTC-USDC,20208958,1766951769,0.00065623,63.054885,59815574,87501.057204,67745
WBTC-USDC,20258958,0,0.00079995,50.205344,59815574,87888.920000,67789
WBTC-USDC,20308958,0,0.00066951,61.637258,59815574,87161.826794,67706
WBTC-USDC,20358958,0,0.00066342,62.132676,59815574,87891.881782,67790
WBTC-USDC,20408958,0,0.00067481,61.028200,59815574,88276.904412,67834
WBTC-USDC,20458958,1767201769,0.00074853,54.556267,59815574,87490.494782,67744
WBTC-USDC,20508958,0,0.00074281,55.057574,59815574,87533.684663,67749
WBTC-USDC,20558958,0,0.00066419,61.962721,59815574,88129.679967,67817
WBTC-USDC,20608958,0,0.00052617,74.199435,59815574,89190.818819,67937
WBTC-USDC,20658958,0,0.00044004,81.909887,59815574,89862.712350,68012
WBTC-USDC,20708958,1767451769,0.00043283,82.558529,59815574,89919.350381,68018
WBTC-USDC,20758958,0,0.00028524,95.915316,59815574,91089.603041,68147
WBTC-USDC,20808958,0,0.00031687,93.037874,59815574,90836.857089,68119
WBTC-USDC,20858958,0,0.00012726,110.406442,59815574,92367.797775,68287
WBTC-USDC,20908958,0,0.00000002,122.226240,59815574,93923.451641,68454
WBTC-USDC,20958958,1767701769,0.00061433,64.954401,59815574,93674.668368,68427
WBTC-USDC,21008958,0,0.00067434,59.161970,59815574,92456.103243,68296
WBTC-USDC,21058958,0,0.00070841,55.983233,59815574,91341.941707,68175
WBTC-USDC,21108958,0,0.00071028,55.839059,59815574,90881.671422,68124
WBTC-USDC,21158958,0,0.00070849,55.917970,59815574,90983.603539,68136
WBTC-USDC,21208958,1767951769,0.00059634,65.908935,59815574,90150.034861,68044
WBTC-USDC,21258958,0,0.00065113,60.823656,59815574,90442.180504,68076
WBTC-USDC,21308958,0,0.00065184,60.737755,59815574,90485.888053,68081
WBTC-USDC,21358958,0,0.00062191,63.419361,59815574,90378.238627,68069
WBTC-USDC,21408958,0,0.00060883,64.607099,59815574,90876.781748,68124
WBTC-USDC,21458958,1768201769,0.00064058,61.685621,59815574,91635.287632,68207
WBTC-USDC,21508958,0,0.00069556,56.556417,59815574,91268.107526,68167
WBTC-USDC,21558958,0,0.00064333,61.281420,59815574,91842.163261,68229
